State,total_prison_population,prison_male,prison_female,prion_under_18,prison_white,prison_black,prion_hispanic,prison_american_indian_and_native_alaskan,prison_asian,prison_other,total_state_population,state_male,state_female,state_under_18,state_white,state_black,state_hispanic,state_american_indian_and_native_alaskan,state_asian,Native Hawaiian/ Pacific Islander (non-Hispanic),2 or more races (non-Hispanic),Some other race (non-Hispanic),state_other,annual_unemployment_rate_2021,2021,2020,2019
Alabama,25032,22915,2117,0,11470,13353,0.0,3,4.0,202,4997675,2429703,2567972,1122381,3241003,1316314,224659,17417,69331,1594,114853,12504,128951,3.37,27.4,27.8,27.8
Alaska,4639,4197,442,0,1895,465,125.0,1855,158.0,141,735951,384749,351202,182734,434515,22787,53604,104399,46455,10500,60102,3589,74191,6.38,32.8,31.9,31.9
Arizona,33914,30794,3120,17,12960,5087,13131.0,1880,157.0,699,7079203,3533895,3545308,1614435,3781665,299877,2257429,256947,228292,12623,223929,18441,254993,5.07,32.4,33.0,33.0
Arkansas,17022,15592,1430,5,9547,6771,563.0,49,48.0,44,3006309,1483520,1522789,705785,2123715,455748,236001,13665,45575,10408,114930,6267,131605,4.04,25.3,24.9,24.9
California,101441,97525,3916,,20137,28710,45999.0,1161,1162.0,4272,87903138,19714044,19741309,8992432,14109297,2128184,15593787,124341,5802086,134692,1413870,149096,1697658,7.32,36.2,36.9,36.9
Colorado,15865,14599,1266,0,6520,2769,4722.0,542,184.0,1128,5723176,2895936,2827240,1262735,3821828,222572,1254636,26070,180192,7357,192511,18010,217878,5.48,44.4,44.2,44.2
Connecticut,9889,9254,635,41,2778,4208,2824.0,34,43.0,2,3605330,1768860,1836470,744491,2340848,359156,610065,4225,165872,761,105584,18819,125164,6.38,42.1,42.4,42.4
Delaware,4810,4568,242,0,1551,2952,299.0,1,6.0,1,981892,477219,504673,207645,597040,211387,95278,2084,39398,299,32744,3662,36705,5.47,35.6,34.7,34.7
Florida,80417,75404,5013,48,31599,38266,10174.0,88,18.0,272,683154,325490,357664,125022,250396,299716,76982,1003,27522,297,23632,3606,27535,4.69,33.2,33.7,33.7
Georgia,47010,43942,3068,0,17159,27715,1945.0,22,157.0,12,21339762,10489548,10850214,4261313,11217187,3223893,5593090,31002,585096,10749,576017,102728,689494,3.93,34.6,34.8,34.8
Hawaii,4102,3669,433,0,915,185,98.0,21,699.0,2184,10625615,5191616,5433999,2532197,5462673,3309398,1048474,13866,444677,5254,296315,44958,346527,5.96,35.3,35.5,35.5
Idaho,8907,7668,1239,0,6419,258,1288.0,329,43.0,570,1453498,732172,721326,311020,310216,26521,158741,2326,534056,142973,275435,3230,421638,3.55,30.7,30.9,30.9
Illinois,28475,27165,1310,0,8849,15204,3671.0,42,104.0,605,1811617,912529,899088,458830,1459942,11392,234561,17174,23902,2519,55620,6507,64646,6.1,37.1,37.6,37.6
Indiana,24716,22397,2319,11,14292,7547,992.0,50,55.0,1780,12821813,6332176,6489637,2887351,7721282,1773138,2250076,10358,718559,3048,310790,34562,348400,3.92,28.9,28.9,28.9
Iowa,8562,7859,703,9,5492,2173,605.0,195,,97,6751340,3344360,3406980,1592087,5255601,625756,494408,6863,162123,1982,185158,19449,206589,3.85,30.5,29.5,29.5
Kansas,8521,7793,728,0,4781,2335,1118.0,201,75.0,11,3179090,1590001,1589089,742175,2681793,116206,203048,7337,78532,3920,83185,5069,92174,3.35,35.4,35.1,35.1
Kentucky,18560,16493,2067,0,14102,3879,296.0,18,,265,2932099,1468152,1463947,714151,2192497,159382,362053,15363,86670,1784,107409,6941,116134,4.47,27.0,27.4,27.4
Louisiana,26074,24849,1225,7,8863,17097,66.0,21,25.0,2,4494141,2223783,2270358,1021909,3759079,356610,174359,4877,68112,3340,117508,10256,131104,5.6,26.4,27.2,27.2
Maine,1577,1466,111,0,1261,175,,43,7.0,91,4657305,2283561,2373744,1101083,2693832,1475549,248782,21492,79562,2017,119106,16965,138088,4.67,36.0,33.5,33.5
Maryland,15134,14616,518,3,3414,10730,713.0,76,49.0,152,1357046,668308,688738,254585,1248581,18834,24526,6953,14789,188,39879,3296,43363,5.22,42.5,43.1,43.1
Massachusetts,6148,5949,199,0,2561,1792,1567.0,36,102.0,90,6148545,2995146,3153399,1373149,3035807,1806220,650357,9657,394720,2102,221931,27751,251784,5.4,46.6,46.9,46.9
Michigan,32186,30621,1565,5,13746,16278,632.0,287,94.0,1149,6991852,3413174,3578678,1389724,4871674,467943,864202,7977,477667,1910,234639,65840,302389,5.77,31.7,32.1,32.1
Minnesota,8003,7546,457,3,3732,2834,471.0,756,197.0,13,10062512,4983325,5079187,2188856,7448438,1351051,540036,39462,319960,2546,333683,27336,363565,3.7,38.9,37.9,37.9
Mississippi,17332,16116,1216,20,6419,10649,181.0,35,39.0,9,5670472,2839135,2831337,1323569,4441935,371249,319828,46371,281572,2047,190428,17042,209517,5.46,24.8,24.5,24.5
Missouri,23422,21370,2052,2,14606,7843,494.0,97,61.0,321,2967023,1444255,1522768,706054,1661874,1109577,95643,11587,28758,993,51848,6743,59584,4.14,31.7,31.9,31.9
Montana,4313,3702,611,0,3000,116,133.0,1049,,15,6141534,3027741,3113793,1392375,4800763,689839,271566,15275,122395,7851,217070,16775,241696,3.4,34.8,34.6,34.6
Nebraska,5600,5200,400,8,2829,1551,824.0,287,44.0,65,1077978,545671,532307,232815,916991,5339,43877,62967,8802,565,36931,2506,40002,2.58,34.4,33.3,33.3
Nevada,10202,9418,784,0,3730,3100,2764.0,233,206.0,169,1951480,978863,972617,485910,1515645,91326,224693,13017,47885,980,54035,3899,58914,6.83,27.6,28.0,28.0
New Hampshire,2127,1979,148,,1752,152,125.0,11,6.0,81,3059238,1541789,1517449,694030,1442883,273070,897415,23229,249400,19821,139807,13613,173241,3.41,40.2,40.2,40.2
New Jersey,12506,12052,454,0,2771,7662,1941.0,13,97.0,22,1372175,683846,688329,260615,1220505,18705,55915,1452,36507,402,35768,2921,39091,6.71,43.1,43.1,43.1
New Mexico,5154,4635,519,0,1385,380,3194.0,455,12.0,71,9234024,4539311,4694713,2040442,4966842,1158820,1924503,8873,894646,2196,225620,52524,280340,7.07,30.1,30.1,30.1
New York,30338,29233,1105,0,7056,14930,7290.0,289,190.0,583,2109366,1048448,1060918,485326,759917,37848,1046411,180121,31382,1145,45879,6663,53687,7.09,39.9,39.5,39.5
North Carolina,28995,26871,2124,16,11776,14620,1725.0,576,94.0,204,20114745,9821711,10293034,4217396,10993176,2797225,3871753,40379,1723110,5024,543743,140335,689102,4.88,34.9,34.8,34.8
North Dakota,1689,1489,200,0,982,181,99.0,418,6.0,3,10367022,5067666,5299356,2302315,6433921,2160554,1016730,98911,312111,6060,305309,33426,344795,3.0,31.7,31.8,31.8
Ohio,45029,41443,3586,27,22368,19305,1156.0,83,72.0,2045,773344,397093,376251,184458,642956,23887,31926,37016,12231,1180,22557,1591,25328,5.16,30.7,30.6,30.6
Oklahoma,22391,20216,2175,8,11109,6087,1871.0,2099,88.0,1137,11769923,5800004,5969919,2629989,9152826,1432646,480347,11239,274662,3407,382625,32171,418203,4.03,27.9,27.0,27.0
Oregon,13198,12252,946,0,9566,1236,1757.0,411,183.0,45,3948136,1964927,1983209,961070,2533380,278454,443914,285097,87388,6155,304600,9148,319903,5.15,36.3,36.3,36.3
Pennsylvania,37194,35182,2012,14,16427,17125,3333.0,37,114.0,158,4207177,2096429,2110748,873486,3116280,74010,570511,32890,184235,16380,199187,13684,229251,5.92,34.5,34.0,34.0
Rhode Island,2238,2115,123,0,887,643,614.0,21,30.0,43,12970650,6394217,6576433,2704482,9734303,1360025,1023055,9708,457712,2763,343801,39283,385847,5.52,36.5,38.0,38.0
South Carolina,15759,14721,1038,1,5894,9285,427.0,25,22.0,106,1091949,534283,557666,212663,770700,59203,178673,2968,37153,539,34680,8033,43252,3.94,31.5,31.7,31.7
South Dakota,3353,2892,461,0,1730,262,134.0,1189,26.0,12,5078903,2474059,2604844,1109803,3206780,1319130,306230,11355,82488,4324,133344,15252,152920,2.62,31.7,28.4,28.4
Tennessee,21995,19903,2092,4,12047,9295,560.0,36,57.0,0,881785,446461,435324,218698,712735,18736,37618,70363,12579,700,27661,1393,29754,4.47,30.5,30.7,30.7
Texas,133772,123263,10509,15,45229,43485,44284.0,63,522.0,189,6859497,3362099,3497398,1534243,5002855,1120548,395967,10292,124495,3518,182564,19258,205340,5.64,33.1,33.2,33.2
Utah,5907,5426,481,0,3487,450,1219.0,333,58.0,360,28862581,14398171,14464410,7446176,11745032,3401742,11479932,55658,1433683,21282,652631,72621,746534,2.76,36.8,36.9,36.9
Vermont,1287,1204,83,1,1104,124,0.0,25,8.0,26,3231370,1633843,1597527,946063,2497463,35281,465832,26012,74090,28407,95444,8841,132692,3.58,44.4,42.1,42.1
Virginia,30357,28119,2238,1,12863,16326,988.0,32,124.0,24,641637,318533,323104,118889,589575,7643,13368,1152,10630,147,17914,1208,19269,3.85,41.8,42.0,42.0
Washington,13674,12888,786,4,7555,2419,2286.0,682,590.0,142,8582479,4245281,4337198,1892752,5200759,1601041,840248,13983,573860,4423,315476,32689,352588,5.24,39.0,38.4,38.4
West Virginia,5847,5227,620,0,4956,797,43.0,5,4.0,42,7617364,3831964,3785400,1680460,5063850,283174,1007881,69496,675966,49088,438682,29227,516997,5.15,24.1,23.1,23.1
Wisconsin,20202,18953,1249,0,8947,8200,1918.0,886,244.0,7,1801049,896723,904326,366495,1643042,60339,30196,1786,13763,660,46837,4426,51923,3.86,32.5,31.8,31.8
Wyoming,2123,1858,265,0,1593,101,248.0,159,9.0,13,5871661,2937621,2934040,1292944,4705965,364446,424598,39457,165139,2395,157130,12531,172056,4.54,29.2,28.2,28.2
